key,result,timestamp
Kabul,,2025-05-23 20:21:29
Udine,,2025-05-23 20:21:29
Yantai,86,2025-05-23 20:21:30
Santa Rosa,,2025-05-23 20:21:31
Graz,,2025-05-23 20:21:31
Zhoushan,75,2025-05-23 20:21:32
Kamyin,,2025-05-23 20:22:37
Batman,,2025-05-23 20:22:38
Dallas,,2025-05-23 20:22:38
Owo,,2025-05-23 20:22:39
Malm,,2025-05-23 20:22:40
Miyakonojo,39,2025-05-23 20:23:45
Huejutla de Reyes,,2025-05-23 20:23:46
Dhule (Dhulia),,2025-05-23 20:23:46
San Bernardino,,2025-05-23 20:23:47
Arecibo,,2025-05-23 20:23:47
Gaziantep,,2025-05-23 20:24:53
Davao,,2025-05-23 20:24:53
Soshanguve,,2025-05-23 20:24:54
Carmen,,2025-05-23 20:24:55
Sorocaba,,2025-05-23 20:24:55
Sanya,17,2025-05-23 20:26:00
Salinas,,2025-05-23 20:26:01
Trshavn,,2025-05-23 20:26:02
Battambang,,2025-05-23 20:26:02
La Romana,,2025-05-23 20:26:04
Lethbridge,33,2025-05-23 20:27:09
Ueda,42,2025-05-23 20:27:10
Baha Blanca,,2025-05-23 20:27:11
Donostia-San Sebastin,,2025-05-23 20:27:11
Ashdod,,2025-05-23 20:27:12
San Lorenzo,,2025-05-23 20:28:17
Tanza,,2025-05-23 20:28:18
Jakarta,,2025-05-23 20:28:18
Esfahan,,2025-05-23 20:28:19
Korolev,,2025-05-23 20:28:20
Rio Claro,,2025-05-23 20:29:25
Hami,,2025-05-23 20:29:26
Merlo,,2025-05-23 20:29:26
Kakamigahara,57,2025-05-23 20:29:27
